Key_Dataset, Key_Scheme, Key_Scheme_options, Number_correct, Number_incorrect, Number_unclassified, Percent_correct, Percent_incorrect, Percent_unclassified, Kappa_statistic, Mean_absolute_error, Root_mean_squared_error, Relative_absolute_error, Root_relative_squared_error, SF_prior_entropy, SF_scheme_entropy, SF_entropy_gain, SF_mean_prior_entropy, SF_mean_scheme_entropy, SF_mean_entropy_gain, KB_information, KB_mean_information, KB_relative_information, Weighted_avg_true_positive_rate, Weighted_avg_false_positive_rate, Weighted_avg_true_negative_rate, Weighted_avg_false_negative_rate, Weighted_avg_IR_precision, Weighted_avg_IR_recall, Weighted_avg_F_measure, Weighted_avg_area_under_ROC
weather.arff, weka.classifiers.trees.J48, -M 1 -C 0.3 , 11.0, 3.0, 0.0, 78.57142857142857, 21.428571428571427, 0.0, 0.553191489361702, 0.1904761904761905, 0.4178554470186725, 38.83495145631067, 82.41830025219797, 14.358431503999803, 2149.5849625007213, -2135.2265309967215, 1.0256022502857003, 153.5417830357658, -152.51618078548012, 8.63878682009633, 0.6170562014354521, 889.7246543165545, 0.7857142857142857, 0.20793650793650795, 0.792063492063492, 0.21428571428571427, 0.800595238095238, 0.7857142857142857, 0.789152024446142, 0.8333333333333334
weather.arff, weka.classifiers.trees.J48, -M 1 -C 0.2 , 11.0, 3.0, 0.0, 78.57142857142857, 21.428571428571427, 0.0, 0.553191489361702, 0.1904761904761905, 0.4178554470186725, 38.83495145631067, 82.41830025219797, 14.358431503999803, 2149.5849625007213, -2135.2265309967215, 1.0256022502857003, 153.5417830357658, -152.51618078548012, 8.63878682009633, 0.6170562014354521, 889.7246543165545, 0.7857142857142857, 0.20793650793650795, 0.792063492063492, 0.21428571428571427, 0.800595238095238, 0.7857142857142857, 0.789152024446142, 0.8333333333333334
weather.arff, weka.classifiers.trees.J48, -M 1 -C 0.4 , 12.0, 2.0, 0.0, 85.71428571428571, 14.285714285714286, 0.0, 0.6888888888888888, 0.14285714285714285, 0.3779644730092272, 29.126213592232997, 74.55015758056213, 14.358431503999803, 2148.0, -2133.641568496, 1.0256022502857003, 153.42857142857142, -152.40296917828573, 10.176681067160706, 0.726905790511479, 1048.1152311232074, 0.8571428571428571, 0.16825396825396827, 0.8317460317460318, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8444444444444444
weather.arff, weka.classifiers.trees.J48, -M 1 -C 0.1 , 7.0, 7.0, 0.0, 50.0, 50.0, 0.0, -0.25641025641025644, 0.3882783882783883, 0.5581605124845396, 79.1635548917102, 110.09223652603427, 14.358431503999803, 2156.3867213732856, -2142.028289869286, 1.0256022502857003, 154.02762295523468, -153.002020704949, 2.081145681122199, 0.1486532629372999, 214.34104814478928, 0.5, 0.7222222222222222, 0.2777777777777778, 0.5, 0.375, 0.5, 0.42857142857142855, 0.7000000000000001
weather.arff, weka.classifiers.trees.J48, -M 1 -C 0.5 , 12.0, 2.0, 0.0, 85.71428571428571, 14.285714285714286, 0.0, 0.6888888888888888, 0.14285714285714285, 0.3779644730092272, 29.126213592232997, 74.55015758056213, 14.358431503999803, 2148.0, -2133.641568496, 1.0256022502857003, 153.42857142857142, -152.40296917828573, 10.176681067160706, 0.726905790511479, 1048.1152311232074, 0.8571428571428571, 0.16825396825396827, 0.8317460317460318, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8444444444444444
weather.arff, weka.classifiers.trees.J48, -M 2 -C 0.5 , 8.0, 6.0, 0.0, 57.142857142857146, 42.857142857142854, 0.0, 0.0666666666666665, 0.3511904761904762, 0.5432668671002208, 71.6019417475728, 107.15459637824483, 14.358431503999803, 2155.5849625007213, -2141.2265309967215, 1.0256022502857003, 153.97035446433725, -152.94475221405153, 3.4851556259946666, 0.24893968757104762, 358.94263270440587, 0.5714285714285714, 0.5047619047619047, 0.49523809523809526, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.6666666666666666
weather.arff, weka.classifiers.trees.J48, -M 2 -C 0.3 , 8.0, 6.0, 0.0, 57.142857142857146, 42.857142857142854, 0.0, 0.0666666666666665, 0.3511904761904762, 0.5432668671002208, 71.6019417475728, 107.15459637824483, 14.358431503999803, 2155.5849625007213, -2141.2265309967215, 1.0256022502857003, 153.97035446433725, -152.94475221405153, 3.4851556259946666, 0.24893968757104762, 358.94263270440587, 0.5714285714285714, 0.5047619047619047, 0.49523809523809526, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.6666666666666666
weather.arff, weka.classifiers.trees.J48, -M 2 -C 0.4 , 8.0, 6.0, 0.0, 57.142857142857146, 42.857142857142854, 0.0, 0.0666666666666665, 0.3511904761904762, 0.5432668671002208, 71.6019417475728, 107.15459637824483, 14.358431503999803, 2155.5849625007213, -2141.2265309967215, 1.0256022502857003, 153.97035446433725, -152.94475221405153, 3.4851556259946666, 0.24893968757104762, 358.94263270440587, 0.5714285714285714, 0.5047619047619047, 0.49523809523809526, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.6666666666666666
weather.arff, weka.classifiers.rules.PART, -C 0.5 , 4.0, 10.0, 0.0, 28.571428571428573, 71.42857142857143, 0.0, -0.4285714285714286, 0.6321428571428572, 0.7330491873749749, 128.88349514563103, 144.5874846331741, 14.358431503999803, 4308.813781191217, -4294.455349687217, 1.0256022502857003, 307.7724129422298, -306.74681069194406, -4.802556753554782, -0.34303976811105585, -494.62421476265985, 0.2857142857142857, 0.7523809523809524, 0.24761904761904763, 0.7142857142857143, 0.32653061224489793, 0.2857142857142857, 0.3005952380952381, 0.31111111111111106
weather.arff, weka.classifiers.trees.J48, -M 2 -C 0.1 , 6.0, 8.0, 0.0, 42.857142857142854, 57.142857142857146, 0.0, -0.36585365853658536, 0.423992673992674, 0.566102224978471, 86.44510828976846, 111.65866924699439, 14.358431503999803, 1086.3867213732854, -1072.0282898692856, 1.0256022502857003, 77.59905152666325, -76.57344927637754, 0.8523269906263183, 0.06088049933045131, 87.78273534144394, 0.42857142857142855, 0.7619047619047619, 0.23809523809523808, 0.5714285714285714, 0.3506493506493506, 0.42857142857142855, 0.3857142857142857, 0.5999999999999999
weather.arff, weka.classifiers.trees.J48, -M 2 -C 0.2 , 8.0, 6.0, 0.0, 57.142857142857146, 42.857142857142854, 0.0, 0.0666666666666665, 0.3470695970695971, 0.5377688288045104, 70.7617625093353, 106.07015683273453, 14.358431503999803, 2155.285402218862, -2140.9269707148624, 1.0256022502857003, 153.9489573013473, -152.9233550510616, 3.6006328434146027, 0.2571880602439002, 370.8358451994035, 0.5714285714285714, 0.5047619047619047, 0.49523809523809526, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.6666666666666666
